시,구,동,2021년01월_총인구수,2021년01월_세대수,2021년01월_남자인구수,2021년01월_여자인구수
수원시,장안구,파장동,23573,10590,11887,11686
수원시,장안구,율천동,43017,19807,22674,20343
수원시,장안구,정자1동,29779,11068,14668,15111
수원시,장안구,정자2동,30060,12522,14755,15305
수원시,장안구,정자3동,42707,14316,21363,21344
수원시,장안구,영화동,20355,10712,10400,9955
수원시,장안구,송죽동,19667,8825,9761,9906
수원시,장안구,조원1동,28763,12792,14479,14284
수원시,장안구,조원2동,19103,6576,9214,9889
수원시,장안구,연무동,16300,8535,8398,7902
수원시,권선구,세류1동,10429,4507,5210,5219
수원시,권선구,세류2동,23728,12232,12251,11477
수원시,권선구,세류3동,19312,9241,9726,9586
수원시,권선구,평동,41041,16635,20800,20241
수원시,권선구,서둔동,38211,16815,19417,18794
수원시,권선구,구운동,24791,10664,12495,12296
수원시,권선구,금곡동,45794,17151,22652,23142
수원시,권선구,호매실동,46598,17146,23185,23413
수원시,권선구,권선1동,24895,12897,12694,12201
수원시,권선구,권선2동,49532,17318,24365,25167
수원시,권선구,곡선동,27497,14419,14777,12720
수원시,권선구,입북동,16858,6181,8553,8305
수원시,팔달구,매교동,5967,3335,3157,2810
수원시,팔달구,매산동,10660,6205,5681,4979
수원시,팔달구,고등동,9115,4973,4692,4423
수원시,팔달구,화서1동,23411,10104,11363,12048
수원시,팔달구,화서2동,26776,9740,13186,13590
수원시,팔달구,지동,11284,5920,5751,5533
수원시,팔달구,우만1동,20473,10798,10196,10277
수원시,팔달구,우만2동,17191,7564,8598,8593
수원시,팔달구,인계동,39288,21245,19839,19449
수원시,팔달구,행궁동,10933,6784,5837,5096
수원시,영통구,매탄1동,18238,7747,9178,9060
수원시,영통구,매탄2동,15171,6551,7536,7635
수원시,영통구,매탄3동,36282,15517,18766,17516
수원시,영통구,매탄4동,22038,9489,10822,11216
수원시,영통구,원천동,39144,17967,19803,19341
수원시,영통구,영통1동,35889,12707,17696,18193
수원시,영통구,영통2동,26701,13181,14108,12593
수원시,영통구,영통3동,32908,13251,16796,16112
수원시,영통구,망포1동,31598,10915,15907,15691
수원시,영통구,망포2동,28315,9531,14139,14176
수원시,영통구,광교1동,53158,21775,26014,27144
수원시,영통구,광교2동,29191,11486,14129,15062
