도,시,구,동,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
경기도,수원시,장안구,파장동,64,83,97,107,107,146,130,144,142,150,161,186,173,171,197,162,156,185,193,211,251,308,284,321,335,338,376,330,380,374,360,319,286,281,266,259,272,248,287,343,320,300,314,295,376,333,339,386,451,408,451,415,440,492,440,431,385,432,395,481,465,489,427,405,339,340,326,285,223,268,162,187,220,179,200,170,129,150,126,155,121,127,99,103,89,76,75,58,39,47,28,22,28,16,10,3,4,4,3,6,2
경기도,수원시,장안구,율천동,215,214,238,238,238,277,335,349,345,366,364,342,355,376,405,332,347,381,372,626,755,876,995,1213,1241,1157,1070,934,871,774,750,641,551,577,515,462,528,495,531,592,629,620,644,513,610,556,582,655,658,666,754,762,735,759,658,665,636,568,536,589,598,572,522,451,392,384,365,321,256,268,177,225,203,192,169,150,127,140,139,189,140,117,129,114,87,94,76,59,55,45,36,25,28,12,18,10,7,5,3,4,5
경기도,수원시,장안구,정자1동,95,141,159,168,219,239,292,297,298,319,321,334,317,336,358,326,324,330,353,328,408,392,374,410,376,412,375,412,368,392,361,337,304,278,283,281,334,315,378,427,461,507,509,434,456,464,536,574,564,588,639,554,634,585,535,509,495,463,405,451,459,453,394,368,327,282,328,243,205,248,143,154,172,180,170,141,111,111,117,147,119,105,87,88,89,81,75,52,39,30,27,22,24,20,17,5,4,3,5,1,4
경기도,수원시,장안구,정자2동,181,222,239,267,303,348,394,365,324,357,335,304,332,364,383,384,375,416,455,387,444,515,479,488,506,495,517,547,535,555,533,500,464,432,487,455,470,505,596,613,616,616,609,602,555,599,638,594,753,656,704,660,712,652,617,591,601,580,485,538,545,533,459,411,362,368,360,310,290,296,194,221,235,214,233,214,157,172,183,227,159,122,140,126,110,99,87,62,52,45,33,19,30,14,17,11,5,5,5,6,6
경기도,수원시,장안구,정자3동,134,168,206,234,253,312,365,412,496,536,585,596,608,692,734,682,637,686,732,601,644,724,649,661,678,607,570,550,559,516,466,415,418,388,365,337,408,401,462,574,641,709,769,708,847,842,889,955,970,991,940,1000,929,852,776,701,631,627,562,588,505,442,411,369,329,265,263,204,152,201,134,155,138,137,148,136,126,108,114,130,103,96,91,89,89,77,67,57,32,33,26,26,21,14,11,7,1,3,4,0,2
경기도,수원시,장안구,영화동,54,65,59,80,67,75,92,84,86,105,106,94,110,122,103,114,101,127,109,155,161,220,210,241,246,270,271,314,315,335,279,268,211,241,208,221,215,218,214,287,286,286,306,200,254,251,257,299,320,335,365,350,347,412,362,373,350,423,417,435,454,495,437,369,382,343,356,321,283,280,193,187,230,215,216,184,158,139,131,143,133,112,106,84,76,69,58,43,33,36,17,25,14,12,11,6,11,3,4,2,3
경기도,수원시,장안구,송죽동,78,82,85,96,97,98,122,126,126,144,128,141,125,161,180,174,170,200,187,189,229,241,259,258,310,317,324,306,307,333,311,273,228,216,229,265,244,258,277,267,275,277,291,281,265,283,280,321,366,316,356,353,398,382,376,321,365,353,335,359,373,336,364,307,278,274,253,207,185,198,131,145,129,125,150,116,107,110,95,139,92,82,74,70,58,46,50,34,27,25,16,24,16,12,3,7,3,3,0,0,5
경기도,수원시,장안구,조원1동,62,93,100,113,125,133,177,164,162,206,218,223,236,245,270,267,249,291,306,310,355,416,373,404,442,429,440,443,409,434,398,371,331,315,285,277,304,295,295,347,380,374,391,340,381,416,445,463,493,517,557,562,531,599,553,550,512,511,452,537,553,564,471,452,406,347,363,322,259,314,222,208,217,245,231,176,181,178,150,210,162,140,122,125,86,102,92,77,49,47,46,36,32,26,19,12,7,6,1,4,2
경기도,수원시,장안구,조원2동,80,88,100,93,125,140,154,156,166,184,154,211,180,194,202,202,177,193,223,201,241,258,236,281,292,288,309,300,246,265,269,176,194,167,173,196,173,184,203,201,258,253,267,232,248,237,274,311,310,319,351,359,370,418,411,366,389,363,356,332,392,330,298,258,238,205,188,158,120,158,95,109,115,102,132,105,72,75,90,108,95,86,75,75,62,69,67,58,56,43,40,29,21,18,5,13,6,2,3,6,4
경기도,수원시,장안구,연무동,41,44,53,61,65,70,67,71,56,88,69,87,66,99,108,95,93,120,95,136,161,228,297,330,314,258,271,223,231,234,226,183,191,152,162,174,164,169,173,206,219,199,194,168,175,204,207,194,251,257,255,249,284,273,271,259,270,260,259,302,286,311,282,354,263,247,275,259,195,223,165,171,165,153,164,166,120,144,132,158,131,104,97,87,83,78,49,54,50,57,30,17,28,17,18,13,6,4,6,2,4
